, 14.3782182156454
-18.3079999999979, 14.3772229624069
-18.3069999999979, 14.3762277098134
-18.3059999999979, 14.3752324578657
-18.3049999999979, 14.374237206563
-18.3039999999979, 14.3732419559058
-18.3029999999979, 14.3722467058946
-18.3019999999979, 14.3712514565293
-18.3009999999979, 14.3702562078093
-18.2999999999979, 14.3692609597364
-18.2989999999979, 14.3682657123088
-18.2979999999979, 14.3672704655282
-18.2969999999979, 14.3662752193939
-18.2959999999979, 14.3652799739061
-18.2949999999979, 14.3642847290654
-18.2939999999979, 14.3632894848714
-18.2929999999979, 14.362294241324
-18.2919999999979, 14.3612989984243
-18.2909999999979, 14.3603037561719
-18.2899999999979, 14.3593085145663
-18.2889999999979, 14.3583132736087
-18.2879999999979, 14.3573180332989
-18.2869999999979, 14.3563227936364
-18.2859999999979, 14.3553275546223
-18.2849999999979, 14.3543323162562
-18.2839999999979, 14.3533370785377
-18.2829999999979, 14.3523418414683
-18.2819999999979, 14.3513466050472
-18.2809999999979, 14.3503513692743
-18.2799999999979, 14.3493561341503
-18.2789999999979, 14.3483608996754
-18.2779999999979, 14.3473656658489
-18.2769999999979, 14.3463704326722
-18.2759999999979, 14.345375200144
-18.2749999999979, 14.3443799682655
-18.2739999999979, 14.3433847370369
-18.2729999999979, 14.3423895064571
-18.2719999999979, 14.341394276528
-18.2709999999979, 14.3403990472486
-18.2699999999979, 14.3394038186185
-18.2689999999979, 14.3384085906393
-18.2679999999979, 14.3374133633104
-18.2669999999979, 14.3364181366315
-18.2659999999979, 14.3354229106032
-18.2649999999979, 14.334427685226
-18.2639999999979, 14.3334324604989
-18.2629999999979, 14.3324372364235
-18.2619999999979, 14.331442012999
-18.2609999999979, 14.3304467902253
-18.2599999999979, 14.3294515681033
-18.2589999999979, 14.328456346633
-18.2579999999979, 14.3274611258139
-18.2569999999979, 14.3264659056467
-18.2559999999979, 14.3254706861316
-18.2549999999979, 14.3244754672677
-18.2539999999979, 14.3234802490567
-18.2529999999979, 14.3224850314973
-18.2519999999979, 14.3214898145912
-18.2509999999979, 14.3204945983374
-18.2499999999979, 14.3194993827357
-18.2489999999979, 14.3185041677871
-18.2479999999979, 14.317508953492
-18.2469999999979, 14.3165137398491
-18.2459999999979, 14.3155185268598
-18.2449999999979, 14.3145233145239
-18.2439999999979, 14.3135281028411
-18.2429999999979, 14.3125328918124
-18.2419999999979, 14.3115376814373
-18.2409999999979, 14.3105424717157
-18.2399999999978, 14.3095472626485
-18.2389999999978, 14.3085520542354
-18.2379999999978, 14.307556846476
-18.2369999999978, 14.3065616393716
-18.2359999999978, 14.3055664329217
-18.2349999999978, 14.3045712271259
-18.2339999999978, 14.3035760219856
-18.2329999999978, 14.3025808175001
-18.2319999999978, 14.3015856136692
-18.2309999999978, 14.3005904104936
-18.2299999999978, 14.2995952079738
-18.2289999999978, 14.2986000061089
-18.2279999999978, 14.2976048049001
-18.2269999999978, 14.2966096043462
-18.2259999999978, 14.2956144044488
-18.2249999999978, 14.2946192052075
-18.2239999999978, 14.2936240066218
-18.2229999999978, 14.2926288086928
-18.2219999999978, 14.2916336114202
