	;Ц
0x9ae3	0xc064	;
0x9ae6	0x9ff2	;
0x9ae7	0xc065	;
0x9aeb	0xc39e	;
0x9aec	0xc39d	;
0x9aed	0xa3b1	;h
0x9aee	0xa240	;v
0x9aef	0xa241	;w
0x9af1	0xc3a1	;
0x9af2	0xc3a0	;
0x9af3	0xc39f	;
0x9af6	0xc69a	;n
0x9af7	0xc69d	;q
0x9af9	0xc69c	;p
0x9afa	0xc69b	;o
0x9afb	0xa3b0	;g
0x9afc	0xc8f3	;h
0x9afd	0xc8f1	;f
0x9afe	0xc8f0	;e
0x9b01	0xc8f2	;g
0x9b03	0xa5f7	;O
0x9b04	0xcae7	;
0x9b05	0xcae8	;
0x9b06	0xa5f8	;P
0x9b08	0xcae6	;
0x9b0a	0xccb0	;
0x9b0b	0xccaf	;
0x9b0c	0xccb2	;
0x9b0d	0xa6d0	;G
0x9b0e	0xccb1	;
0x9b10	0xcdf4	;g
0x9b11	0xcdf6	;i
0x9b12	0xcdf5	;h
0x9b15	0xceef	;
0x9b16	0xcef2	;
0x9b17	0xcef0	;
0x9b18	0xcef1	;
0x9b19	0xcfd2	;
0x9b1a	0xa848	;Ž
0x9b1e	0xd084	;T
0x9b1f	0xd085	;U
0x9b20	0xd086	;V
0x9b22	0xa896	;K
0x9b23	0xa8ae	;c
0x9b24	0xd1a5	;
0x9b25	0x968e	;
0x9b27	0xa242	;x
0x9b28	0xa3b2	;i
0x9b29	0xcae9	;
0x9b2b	0xcfd3	;
0x9b2e	0xd1b3	;
0x9b2f	0xb26d	;J
0x9b31	0xa8c6	;{
0x9b32	0x968f	;
0x9b33	0xc69e	;r
0x9b35	0xcaea	;
0x9b37	0xccb3	;
0x9b3a	0xcef3	;
0x9b3b	0xcfd4	;
0x9b3c	0x9690	;
0x9b3e	0xc066	;
0x9b3f	0xc067	;
0x9b41	0x9ff3	;
0x9b42	0x9ff4	;
0x9b43	0xc3a3	;
0x9b44	0xa244	;z
0x9b45	0xa243	;y
0x9b46	0xc3a2	;
0x9b48	0xc8f4	;i
0x9b4a	0xcaeb	;
0x9b4b	0xcaed	;
0x9b4c	0xcaec	;
0x9b4d	0xa5fb	;S
0x9b4e	0xa5fa	;R
0x9b4f	0xa5f9	;Q
0x9b51	0xa7c8	;^
0x9b52	0xcef4	;
0x9b54	0xa7c7	;]
0x9b55	0xcfd6	;
0x9b56	0xcfd5	;
0x9b58	0xa897	;L
0x9b59	0xd0e3	;
0x9b5a	0x9942	;
0x9b5b	0xbcf0	;
0x9b5f	0xc06a	;
0x9b60	0xc068	;
0x9b61	0xc069	;
0x9b64	0xc3ac	;
0x9b66	0xc3a7	;
0x9b67	0xc3a4	;
0x9b68	0xc3ab	;
0x9b6c	0xc3ad	;
0x9b6f	0xa246	;|
0x9b70	0xc3aa	;
0x9b71	0xc3a6	;
0x9b74	0xc3a5	;
0x9b75	0xc3a9	;
0x9b76	0xc3a8	;
0x9b77	0xa245	;{
0x9b7a	0xc6a9	;}
0x9b7b	0xc6a4	;x
0x9b7c	0xc6a2	;v
0x9b7d	0xc6ab	;
0x9b7e	0xc6a3	;w
0x9b80	0xc69f	;s
0x9b82	0xc6a5	;y
0x9b85	0xc6a0	;t
0x9b86	0xc940	;r
0x9b87	0xc6a1	;u
0x9b88	0xc6ac	;
0x9b90	0xc6a8	;|
0x9b91	0xa3b3	;j
0x9b92	0xc6a7	;{
0x9b93	0xc6a6	;z
0x9b95	0xc6aa	;~
0x9b9a	0xc8f5	;j
0x9b9b	0xc8f8	;m
0x9b9e	0xc8f7	;l
0x9ba0	0xc942	;t
0x9ba1	0xc8fa	;o
0x9ba2	0xc941	;s
0x9ba4	0xc8fc	;q
0x9ba5	0xc8fb	;p
0x9ba6	0xc8f9	;n
0x9ba8	0xc8f6	;k
0x9baa	0xa54d	;C
0x9bab	0xa54c	;B
0x9bad	0xa54e	;D
0x9bae	0xa54b	;A
0x9baf	0xc943	;u
0x9bb5	0xcaf3	;
0x9bb6	0xcaf6	;
0x9bb8	0xcaf4	;
0x9bb9	0xcaf8	;
0x9bbd	0xcaf9	;
0x9bbf	0xcaf1	;
0x9bc0	0xa643	;X
0x9bc1	0xcaf2	;
0x9bc3	0xcaf0	;
0x9bc4	0xcaf7	;
0x9bc6	0xcaef	;
0x9bc7	0xcaee	;
0x9bc8	0xa642	;W
0x9bc9	0xa640	;U
0x9bca	0xa5fc	;T
0x9bd3	0xcaf5	;
0x9bd4	0xccbc	;
0x9bd5	0xccc2	;
0x9bd6	0xa6d3	;J
0x9bd7	0xccbd	;
0x9bd9	0xccc0	;
0x9bda	0xccc4	;
0x9bdb	0xa6d4	;K
0x9bdc	0xccbf	;
0x9bde	0xccb7	;
0x9be0	0xccb6	;
0x9be1	0xccc3	;
0x9be2	0xccba	;
0x9be4	0xccb8	;
0x9be5	0xccc1	;
0x9be6	0xccb9	;
0x9be7	0xa6d2	;I
0x9be8	0xa6d1	;H
0x9bea	0xccb4	;
0x9beb	0xccb5	;
0x9bec	0xccbe	;
0x9bf0	0xccbb	;
0x9bf7	0xcdf9	;l
0x9bf8	0xcdfc	;o
0x9bfd	0xa641	;V
0x9c05	0xcdfa	;m
0x9c06	0xce43	;s
0x9c07	0xce41	;q
0x9c08	0xcdf8	;k
0x9c09	0xce46	;v
0x9c0b	0xcdf7	;j
0x9c0d	0xa779	;
0x9c0e	0xce42	;r
0x9c12	0xcdfb	;n
0x9c13	0xa778	;
0x9c14	0xce45	;u
0x9c17	0xce44	;t
0x9c1c	0xcef7	;
0x9c1d	0xcef6	;
0x9c21	0xcf40	;
0x9c23	0xcef9	;
0x9c24	0xcefc	;
0x9c25	0xa7ca	;`
0x9c28	0xcefa	;
0x9c29	0xcefb	;
0x9c2b	0xcef5	;
0x9c2c	0xcef8	;
0x9c2d	0xa7c9	;_
0x9c31	0xa84a	;ſ
0x9c32	0xcfe1	;
0x9c33	0xcfdc	;
0x9c34	0xcfe0	;
0x9c36	0xcfe3	;
0x9c37	0xcfdf	;
0x9c39	0xcfdb	;
0x9c3b	0xa84c	;
0x9c3c	0xcfde	;
0x9c3d	0xcfe2	;
0x9c3e	0xa84b	;
0x9c3f	0xcfd9	;
0x9c40	0xce40	;p
0x9c41	0xcfdd	;
0x9c44	0xcfda	;
0x9c46	0xcfd7	;
0x9c48	0xcfd8	;
0x9c49	0xa849	;ž
0x9c4a	0xd08a	;Z
0x9c4b	0xd08c	;\
0x9c4c	0xd08f	;_
0x9c4d	0xd08b	;[
0x9c4e	0xd090	;`
0x9c50	0xd089	;Y
0x9c52	0xd087	;W
0x9c54	0xa876	;
0x9c55	0xd08d	;]
0x9c56	0xa878	;
0x9c57	0xa877	;
0x9c58	0xd088	;X
0x9c59	0xd08e	;^
0x9c5e	0xd0e8	;
0x9c5f	0xa898	;M
0x9c60	0xd0e9	;
0x9c62	0xd0e7	;
0x9c63	0xd0e4	;
0x9c66	0xd0e6	;
0x9c67	0xd0e5	;
0x9c68	0xd16a	;Z
0x9c6d	0xd16c	;\
0x9c6e	0xd16b	;[
0x9c71	0xd18a	;y
0x9c73	0xd189	;x
0x9c74	0xd188	;w
0x9c75	0xd18b	;z
0x9c77	0xa8be	;s
0x9c78	0xa8bf	;t
0x9c79	0xd1b9	;
0x9c7a	0xd1bd	;
0x9ce5	0x9943	;
0x9ce6	0xb974	;ܯ
0x9ce7	0xbcf3	;
0x9ce9	0x9deb	;
0x9cea	0xbcf1	;
0x9ced	0xbcf2	;
0x9cf1	0xc06b	;
0x9cf2	0xc06c	;
0x9cf3	0x9ff7	;
0x9cf4	0x9ff5	;
0x9cf5	0xc06d	;
0x9cf6	0x9ff6	;
0x9cf7	0xc3b2	;
0x9cf9	0xc3b5	;
0x9cfa	0xc3af	;
0x9cfb	0xc3b6	;
0x9cfc	0xc3ae	;
0x9cfd	0xc3b0	;
0x9cff	0xc3b1	;
0x9d00	0xc3b4	;
0x9d03	0xa249	;
0x9d04	0xc3b9	;
0x9d05	0xc3b8	;
0x9d06	0xa247	;}
0x9d07	0xc3b3	;
0x9d08	0xc3b7	;
0x9d09	0xa248	;~
0x9d10	0xc6b6	;
0x9d12	0xa3b8	;o
0x9d14	0xc6b1	;
0x9d15	0xa3b4	;k
0x9d17	0xc6ae	;
0x9d18	0xc6b4	;
0x9d19	0xc6b7	;
0x9d1b	0xa3b9	;p
0x9d1d	0xc6b3	;
0x9d1e	0xc6b0	;
0x9d1f	0xc6b8	;
0x9d20	0xc6af	;
0x9d22	0xc6b5	;
0x9d23	0xa3b5	;l
0x9d25	0xc6ad	;
0x9d26	0xa3b6	;m
0x9d28	0xa3b7	;n
0x9d29	0xc6b2	;
0x9d2d	0xc955	;
0x9d2e	0xc948	;z
0x9d2f	0xc949	;{
0x9d30	0xc94c	;~
0x9d31	0xc94a	;|
0x9d33	0xc944	;v
0x9d36	0xc947	;y
0x9d37	0xc951	;
0x9d38	0xc94b	;}
0x9d3b	0xa54f	;E
0x9d3d	0xc953	;
0x9d3e	0xc950	;
0x9d3f	0xa550	;F
0x9d40	0xc952	;
0x9d41	0xc945	;w
0x9d42	0xc94e	;
0x9d43	0xc94f	;
0x9d45	0xc94d	;
0x9d4a	0xcb40	;
0x9d4b	0xcb42	;
0x9d4c	0xcb45	;
0x9d4f	0xcafc	;
0x9d51	0xa644	;Y
0x9d52	0xcb47	;
0x9d53	0xcafb	;
0x9d54	0xcb48	;
0x9d56	0xcb44	;
0x9d57	0xcb46	;
0x9d58	0xcb4a	;
0x9d59	0xcb43	;
0x9d5a	0xcb4b	;
0x9d5b	0xcb41	;
0x9d5c	0xcafa	;
0x9d5d	0xa645	;Z
0x9d5f	0xcb49	;
0x9d60	0xa646	;[
0x9d61	0xa6d6	;M
0x9d67	0xc946	;x
0x9d68	0xccde	;
0x9d69	0xccd5	;
0x9d6a	0xa6d8	;O
0x9d6b	0xccd1	;
0x9d6c	0xa6d9	;P
0x9d6f	0xccda	;
0x9d70	0xccd4	;
0x9d71	0xccca	;
0x9d72	0xa6d7	;N
0x9d73	0xccd7	;
0x9d74	0xccd2	;
0x9d75	0xccd3	;
0x9d77	0xccc5	;
0x9d78	0xcccc	;
0x9d79	0xccdb	;
0x9d7b	0xccd8	;
0x9d7d	0xccd0	;
0x9d7f	0xccdc	;
0x9d80	0xcccb	;
0x9d81	0xccc6	;
0x9d82	0xccd9	;
0x9d84	0xccc8	;
0x9d85	0xccd6	;
0x9d86	0xcccd	;
0x9d87	0xccdd	;
0x9d88	0xccc9	;
0x9d89	0xa6d5	;L
0x9d8a	0xccc7	;
0x9d8b	0xccce	;
0x9d8c	0xcccf	;
0x9d90	0xce4d	;}
0x9d92	0xce4b	;{
0x9d94	0xce50	;
0x9d96	0xce5c	;
0x9d97	0xce53	;
0x9d98	0xce4c	;|
0x9d99	0xce48	;x
0x9d9a	0xce55	;
0x9d9b	0xce4e	;~
0x9d9c	0xce51	;
0x9d9d	0xce4a	;z
0x9d9e	0xce58	;
0x9d9f	0xce47	;w
0x9da0	0xce4f	;
0x9da1	0xce54	;
0x9da2	0xce56	;
0x9da3	0xce59	;
0x9da4	0xce49	;y
0x9da6	0xce5d	;
0x9da7	0xce5e	;
0x9da8	0xce57	;
0x9da9	0xce5b	;
0x9daa	0xce52	;
0x9dac	0xcf50	;
0x9dad	0xcf53	;
0x9daf	0xa7cb	;a
0x9db1	0xcf52	;
0x9db2	0xcf57	;
0x9db3	0xcf55	;
0x9db4	0xa7cc	;b
0x9db5	0xcf4c	;
0x9db6	0xcf42	;
0x9db7	0xcf41	;
0x9db8	0xa7ce	;d
0x9db9	0xcf4e	;
0x9dba	0xcf4f	;
0x9dbb	0xcf4b	;
0x9dbc	0xcf43	;
0x9dbe	0xcf48	;
0x9dbf	0xce5a	;
0x9dc1	0xcf44	;
0x9dc2	0xa7cd	;c
0x9dc3	0xcf4a	;
0x9dc5	0xcf49	;
0x9dc7	0xcf45	;
0x9dc8	0xcf51	;
0x9dca	0xcf46	;
0x9dcb	0xcfe8	;
0x9dcc	0xcf54	;
0x9dcd	0xcf56	;
0x9dce	0xcf4d	;
0x9dcf	0xcf47	;
0x9dd0	0xcfe9	;
0x9dd1	0xcfeb	;
0x9dd2	0xcfe5	;
0x9dd3	0xa84d	;
0x9dd5	0xcff2	;
0x9dd6	0xcff0	;
0x9dd7	0xa84e	;
0x9dd8	0xcfef	;
0x9dd9	0xcfee	;
0x9dda	0xcfe7	;
0x9ddb	0xcfe4	;
0x9ddc	0xcfea	;
0x9ddd	0xcff3	;
0x9dde	0xcfe6	;
0x9ddf	0xcfec	;
0x9de1	0xd099	;i
0x9de2	0xd09e	;n
0x9de3	0xd094	;d
0x9de4	0xd097	;g
0x9de5	0xa879	;
0x9de6	0xd09b	;k
0x9de8	0xd0a2	;r
0x9de9	0xcfed	;
0x9deb	0xd095	;e
0x9dec	0xd09f	;o
0x9ded	0xd0a3	;s
0x9dee	0xd09a	;j
0x9def	0xd093	;c
0x9df0	0xd09d	;m
0x9df2	0xd09c	;l
0x9df3	0xd0a1	;q
0x9df4	0xd0a0	;p
0x9df5	0xcff1	;
0x9df6	0xd098	;h
0x9df7	0xd092	;b
0x9df8	0xd096	;f
0x9df9	0xa899	;N
0x9dfa	0xa89a	;O
0x9dfb	0xd091	;a
0x9dfd	0xd0f4	;
0x9dfe	0xd0eb	;
0x9dff	0xd0f3	;
0x9e00	0xd0f0	;
0x9e01	0xd0f1	;
0x9e02	0xd0ea	;
0x9e03	0xd0ed	;
0x9e04	0xd0f5	;
0x9e05	0xd0ef	;
0x9e06	0xd0ee	;
0x9e07	0xd0ec	;
0x9e09	0xd0f2	;
0x9e0b	0xd16d	;]
0x9e0d	0xd16e	;^
0x9e0f	0xd170	;`
0x9e10	0xd16f	;_
0x9e11	0xd172	;b
0x9e12	0xd171	;a
0x9e13	0xd18d	;|
0x9e14	0xd18c	;{
0x9e15	0xd1a6	;
0x9e17	0xd1a7	;
0x9e19	0xd1b4	;
0x9e1a	0xa8c3	;x
0x9e1b	0xa8c7	;|
0x9e1d	0xd1be	;
0x9e1e	0xa8c8	;}
0x9e75	0x9944	;
0x9e79	0xa77a	;
0x9e7a	0xcf58	;
0x9e7c	0xa89b	;P
0x9e7d	0xa89c	;Q
0x9e7f	0x9945	;
0x9e80	0xbcf4	;
0x9e82	0x9dec	;
0x9e83	0xc3ba	;
0x9e86	0xc6ba	;
0x9e87	0xc6bb	;
0x9e88	0xc6b9	;
0x9e89	0xc957	;
0x9e8a	0xc956	;
0x9e8b	0xa551	;G
0x9e8c	0xcb4d	;
0x9e8d	0xc958	;
0x9e8e	0xcb4c	;
0x9e91	0xcce0	;
0x9e92	0xa6da	;Q
0x9e93	0xa6dc	;S
0x9e94	0xccdf	;
0x9e97	0xa6db	;R
0x9e99	0xce5f	;
0x9e9a	0xce61	;
0x9e9b	0xce60	;
0x9e9c	0xcf59	;
0x9e9d	0xa7cf	;e
0x9e9f	0xa87a	;
0x9ea0	0xd0f6	;
0x9ea1	0xd173	;c
0x9ea4	0xd1c1	;
0x9ea5	0x9946	;
0x9ea7	0xc06e	;
0x9ea9	0xa24a	;
0x9ead	0xc6bd	;
0x9eae	0xc6bc	;
0x9eb0	0xc959	;
0x9eb4	0xa6dd	;T
0x9eb5	0xa77b	;
0x9eb6	0xcff4	;
0x9eb7	0xd1ba	;
0x9ebb	0x9947	;
0x9ebc	0x9ff8	;
0x9ebe	0xa24b	;
0x9ec0	0xcce1	;
0x9ec2	0xd0a4	;t
0x9ec3	0x9ba5	;
0x9ec8	0xc95a	;
0x9ecc	0xa8af	;d
0x9ecd	0x9ba6	;
0x9ece	0xa24c	;
0x9ecf	0xa552	;H
0x9ed0	0xd0a5	;u
0x9ed1	0x9ba7	;
0x9ed3	0xc3bb	;
0x9ed4	0xa3bb	;r
0x9ed5	0xc6be	;
0x9ed6	0xc6bf	;
0x9ed8	0xa3ba	;q
0x9eda	0xc95b	;
0x9edb	0xa556	;L
0x9edc	0xa554	;J
0x9edd	0xa555	;K
0x9ede	0xa553	;I
0x9edf	0xcb4e	;
0x9ee0	0xa647	;\
0x9ee4	0xce63	;
0x9ee5	0xce62	;
0x9ee6	0xce65	;
0x9ee7	0xce64	;
0x9ee8	0xa77c	;
0x9eeb	0xcf5a	;
0x9eed	0xcf5c	;
0x9eee	0xcf5b	;
0x9eef	0xa7d0	;f
0x9ef0	0xcff5	;
0x9ef2	0xd0a6	;v
0x9ef3	0xd0a7	;w
0x9ef4	0xa87b	;
0x9ef5	0xd174	;d
0x9ef6	0xd18e	;}
0x9ef7	0xa8c0	;u
0x9ef9	0xb975	;ܰ
0x9efa	0xc6c0	;
0x9efb	0xc95c	;
0x9efc	0xcce2	;
0x9efd	0xbcf5	;
0x9eff	0xc95d	;
0x9f00	0xcb50	;
0x9f01	0xcb4f	;
0x9f06	0xd0a8	;x
0x9f07	0xa89d	;R
0x9f09	0xd175	;e
0x9f0a	0xd18f	;~
0x9f0e	0x9ded	;
0x9f0f	0xc3bc	;
0x9f10	0xc3bd	;
0x9f12	0xc6c1	;
0x9f13	0x9dee	;
0x9f15	0xa648	;]
0x9f16	0xcb51	;
0x9f18	0xcf5e	;
0x9f19	0xa7d1	;g
0x9f1a	0xcf5f	;
0x9f1b	0xcf5d	;
0x9f1c	0xd0a9	;y
0x9f1e	0xd0f7	;
0x9f20	0x9def	;
0x9f22	0xc960	;
0x9f23	0xc95f	;
0x9f24	0xc95e	;
0x9f25	0xcb52	;
0x9f28	0xcb56	;
0x9f29	0xcb55	;
0x9f2a	0xcb54	;
0x9f2b	0xcb53	;
0x9f2c	0xa649	;^
0x9f2d	0xcce3	;
0x9f2e	0xce67	;
0x9f2f	0xa77d	;
0x9f30	0xce66	;
0x9f31	0xcf60	;
0x9f32	0xcff8	;
0x9f33	0xcff7	;
0x9f34	0xa84f	;
0x9f35	0xcff6	;
0x9f36	0xd0ac	;|
0x9f37	0xd0ab	;{
0x9f38	0xd0aa	;z
0x9f3b	0x9ff9	;
0x9f3d	0xc6c2	;
0x9f3e	0xa557	;M
0x9f40	0xcce4	;
0x9f41	0xcce5	;
0x9f42	0xcff9	;
0x9f43	0xd0ad	;}
0x9f46	0xd0f8	;
0x9f47	0xd176	;f
0x9f48	0xd1a8	;
0x9f49	0xd1c3	;
0x9f4a	0x9ffa	;
0x9f4b	0xa558	;N
0x9f4c	0xcb57	;
0x9f4d	0xcce6	;
0x9f4e	0xcf61	;
0x9f4f	0xd0ae	;~
0x9f52	0xa24e	;
0x9f54	0xc961	;
0x9f55	0xcb58	;
0x9f56	0xcce7	;
0x9f57	0xcce8	;
0x9f58	0xcce9	;
0x9f59	0xce6c	;
0x9f5b	0xce68	;
0x9f5c	0xa7d2	;h
0x9f5d	0xce6b	;
0x9f5e	0xce6a	;
0x9f5f	0xa77e	;
0x9f60	0xce69	;
0x9f61	0xa781	;
0x9f63	0xa780	;
0x9f64	0xcf63	;
0x9f65	0xcf62	;
0x9f66	0xa7d3	;i
0x9f67	0xa7d4	;j
0x9f6a	0xa851	;
0x9f6b	0xcffa	;
0x9f6c	0xa850	;
0x9f6e	0xd0b1	;
0x9f6f	0xd0b2	;
0x9f70	0xd0b0	;
0x9f71	0xd0af	;
0x9f72	0xa89f	;T
0x9f74	0xd0f9	;
0x9f75	0xd0fa	;
0x9f76	0xd0fb	;
0x9f77	0xa89e	;S
0x9f78	0xd177	;g
0x9f79	0xd17a	;j
0x9f7a	0xd179	;i
0x9f7b	0xd178	;h
0x9f7e	0xd1c2	;
0x9f8d	0xa3bc	;s
0x9f90	0xa650	;e
0x9f91	0xce6d	;
0x9f92	0xcf64	;
0x9f94	0xa852	;
0x9f95	0xcffb	;
0x9f98	0xd1c4	;
0x9f9c	0xa3bd	;t
0x9fa0	0xc962	;
0x9fa2	0xcffc	;
0x9fa4	0xd190	;
0xe000	0xf940
0xe001	0xf941
0xe002	0xf942
0xe003	0xf943
0xe004	0xf944
0xe005	0xf945
0xe006	0xf946
0xe007	0xf947
0xe008	0xf948
0xe009	0xf949
0xe00a	0xf94a
0xe00b	0xf94b
0xe00c	0xf94c
0xe00d	0xf94d
0xe00e	0xf94e
0xe00f	0xf94f
0xe010	0xf950
0xe011	0xf951
0xe012	0xf952
0xe013	0xf953
0xe014	0xf954
0xe015	0xf955
0xe016	0xf956
0xe017	0xf957
0xe018	0xf958
0xe019	0xf959
0xe01a	0xf95a
0xe01b	0xf95b
0xe01c	0xf95c
0xe01d	0xf95d
0xe01e	0xf95e
0xe01f	0xf95f
0xe020	0xf960
0xe021	0xf961
0xe022	0xf962
0xe023	0xf963
0xe024	0xf964
0xe025	0xf965
0xe026	0xf966
0xe027	0xf967
0xe028	0xf968
0xe029	0xf969
0xe02a	0xf96a
0xe02b	0xf96b
0xe02c	0xf96c
0xe02d	0xf96d
0xe02e	0xf96e
0xe02f	0xf96f
0xe030	0xf970
0xe031	0xf971
0xe032	0xf972
0xe033	0xf973
0xe034	0xf974
0xe035	0xf975
0xe036	0xf976
0xe037	0xf977
0xe038	0xf978
0xe039	0xf979
0xe03a	0xf97a
0xe03b	0xf97b
0xe03c	0xf97c
0xe03d	0xf97d
0xe03e	0xf97e
0xe03f	0xf980
0xe040	0xf981
0xe041	0xf982
0xe042	0xf983
0xe043	0xf984
0xe044	0xf985
0xe045	0xf986
0xe046	0xf987
0xe047	0xf988
0xe048	0xf989
0xe049	0xf98a
0xe04a	0xf98b
0xe04b	0xf98c
0xe04c	0xf98d
0xe04d	0xf98e
0xe04e	0xf98f
0xe04f	0xf990
0xe050	0xf991
0xe051	0xf992
0xe052	0xf993
0xe053	0xf994
0xe054	0xf995
0xe055	0xf996
0xe056	0xf997
0xe057	0xf998
0xe058	0xf999
0xe059	0xf99a
0xe05a	0xf99b
0xe05b	0xf99c
0xe05c	0xf99d
0xe05d	0xf99e
0xe05e	0xf99f
0xe05f	0xf9a0
0xe060	0xf9a1
0xe061	0xf9a2
0xe062	0xf9a3
0xe063	0xf9a4
0xe064	0xf9a5
0xe065	0xf9a6
0xe066	0xf9a7
0xe067	0xf9a8
0xe068	0xf9a9
0xe069	0xf9aa
0xe06a	0xf9ab
0xe06b	0xf9ac
0xe06c	0xf9ad
0xe06d	0xf9ae
0xe06e	0xf9af
0xe06f	0xf9b0
0xe070	0xf9b1
0xe071	0xf9b2
0xe072	0xf9b3
0xe073	0xf9b4
0xe074	0xf9b5
0xe075	0xf9b6
0xe076	0xf9b7
0xe077	0xf9b8
0xe078	0xf9b9
0xe079	0xf9ba
0xe07a	0xf9bb
0xe07b	0xf9bc
0xe07c	0xf9bd
0xe07d	0xf9be
0xe07e	0xf9bf
0xe07f	0xf9c0
0xe080	0xf9c1
0xe081	0xf9c2
0xe082	0xf9c3
0xe083	0xf9c4
0xe084	0xf9c5
0xe085	0xf9c6
0xe086	0xf9c7
0xe087	0xf9c8
0xe088	0xf9c9
0xe089	0xf9ca
0xe08a	0xf9cb
0xe08b	0xf9cc
0xe08c	0xf9cd
0xe08d	0xf9ce
0xe08e	0xf9cf
0xe08f	0xf9d0
0xe090	0xf9d1
0xe091	0xf9d2
0xe092	0xf9d3
0xe093	0xf9d4
0xe094	0xf9d5
0xe095	0xf9d6
0xe096	0xf9d7
0xe097	0xf9d8
0xe098	0xf9d9
0xe099	0xf9da
0xe09a	0xf9db
0xe09b	0xf9dc
0xe09c	0xf9dd
0xe09d	0xf9de
0xe09e	0xf9df
0xe09f	0xf9e0
0xe0a0	0xf9e1
0xe0a1	0xf9e2
0xe0a2	0xf9e3
0xe0a3	0xf9e4
0xe0a4	0xf9e5
0xe0a5	0xf9e6
0xe0a6	0xf9e7
0xe0a7	0xf9e8
0xe0a8	0xf9e9
0xe0a9	0xf9ea
0xe0aa	0xf9eb
0xe0ab	0xf9ec
0xe0ac	0xf9ed
0xe0ad	0xf9ee
0xe0ae	0xf9ef
0xe0af	0xf9f0
0xe0b0	0xf9f1
0xe0b1	0xf9f2
0xe0b2	0xf9f3
0xe0b3	0xf9f4
0xe0b4	0xf9f5
0xe0b5	0xf9f6
0xe0b6	0xf9f7
0xe0b7	0xf9f8
0xe0b8	0xf9f9
0xe0b9	0xf9fa
0xe0ba	0xf9fb
0xe0bb	0xf9fc
0xe0bc	0xfa40
0xe0bd	0xfa41
0xe0be	0xfa42
0xe0bf	0xfa43
0xe0c0	0xfa44
0xe0c1	0xfa45
0xe0c2	0xfa46
0xe0c3	0xfa47
0xe0c4	0xfa48
0xe0c5	0xfa49
0xe0c6	0xfa4a
0xe0c7	0xfa4b
0xe0c8	0xfa4c
0xe0c9	0xfa4d
0xe0ca	0xfa4e
0xe0cb	0xfa4f
0xe0cc	0xfa50
0xe0cd	0xfa51
0xe0ce	0xfa52
0xe0cf	0xfa53
0xe0d0	0xfa54
0xe0d1	0xfa55
0xe0d2	0xfa56
0xe0d3	0xfa57
0xe0d4	0xfa58
0xe0d5	0xfa59
0xe0d6	0xfa5a
0xe0d7	0xfa5b
0xe0d8	0xfa5c
0xe0d9	0xfa5d
0xe0da	0xfa5e
0xe0db	0xfa5f
0xe0dc	0xfa60
0xe0dd	0xfa61
0xe0de	0xfa62
0xe0df	0xfa63
0xe0e0	0xfa64
0xe0e1	0xfa65
0xe0e2	0xfa66
0xe0e3	0xfa67
0xe0e4	0xfa68
0xe0e5	0xfa69
0xe0e6	0xfa6a
0xe0e7	0xfa6b
0xe0e8	0xfa6c
0xe0e9	0xfa6d
0xe0ea	0xfa6e
0xe0eb	0xfa6f
0xe0ec	0xfa70
0xe0ed	0xfa71
0xe0ee	0xfa72
0xe0ef	0xfa73
0xe0f0	0xfa74
0xe0f1	0xfa75
0xe0f2	0xfa76
0xe0f3	0xfa77
0xe0f4	0xfa78
0xe0f5	0xfa79
0xe0f6	0xfa7a
0xe0f7	0xfa7b
0xe0f8	0xfa7c
0xe0f9	0xfa7d
0xe0fa	0xfa7e
0xe0fb	0xfa80
0xe0fc	0xfa81
0xe0fd	0xfa82
0xe0fe	0xfa83
0xe0ff	0xfa84
0xe100	0xfa85
0xe101	0xfa86
0xe102	0xfa87
0xe103	0xfa88
0xe104	0xfa89
0xe105	0xfa8a
0xe106	0xfa8b
0xe107	0xfa8c
0xe108	0xfa8d
0xe109	0xfa8e
0xe10a	0xfa8f
0xe10b	0xfa90
0xe10c	0xfa91
0xe10d	0xfa92
0xe10e	0xfa93
0xe10f	0xfa94
0xe110	0xfa95
0xe111	0xfa96
0xe112	0xfa97
0xe113	0xfa98
0xe114	0xfa99
0xe115	0xfa9a
0xe116	0xfa9b
0xe117	0xfa9c
0xe118	0xfa9d
0xe119	0xfa9e
0xe11a	0xfa9f
0xe11b	0xfaa0
0xe11c	0xfaa1
0xe11d	0xfaa2
0xe11e	0xfaa3
0xe11f	0xfaa4
0xe120	0xfaa5
0xe121	0xfaa6
0xe122	0xfaa7
0xe123	0xfaa8
0xe124	0xfaa9
0xe125	0xfaaa
0xe126	0xfaab
0xe127	0xfaac
0xe128	0xfaad
0xe129	0xfaae
0xe12a	0xfaaf
0xe12b	0xfab0
0xe12c	0xfab1
0xe12d	0xfab2
0xe12e	0xfab3
0xe12f	0xfab4
0xe130	0xfab5
0xe131	0xfab6
0xe132	0xfab7
0xe133	0xfab8
0xe134	0xfab9
0xe135	0xfaba
0xe136	0xfabb
0xe137	0xfabc
0xe138	0xfabd
0xe139	0xfabe
0xe13a	0xfabf
0xe13b	0xfac0
0xe13c	0xfac1
0xe13d	0xfac2
0xe13e	0xfac3
0xe13f	0xfac4
0xe140	0xfac5
0xe141	0xfac6
0xe142	0xfac7
0xe143	0xfac8
0xe144	0xfac9
0xe145	0xfaca
0xe146	0xfacb
0xe147	0xfacc
0xe148	0xfacd
0xe149	0xface
0xe14a	0xfacf
0xe14b	0xfad0
