3B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E55 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E56 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E57 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E58 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E59 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E5A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E5B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E5C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E5D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E5E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E5F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E60 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E61 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E62 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E63 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E64 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E65 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E66 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E67 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E68 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E69 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E6A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E6B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E6C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E6D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E6E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E6F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E70 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E71 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E72 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E73 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E74 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E75 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E76 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E77 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E78 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E79 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E7A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E7B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E7C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E7D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E7E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E7F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E80 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E81 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E82 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E83 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E84 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E85 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E86 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E87 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E88 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E89 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E8A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E8B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E8C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E8D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E8E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E8F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E90 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E91 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E92 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E93 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E94 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E95 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E96 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E97 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E98 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E99 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E9A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E9B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E9C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E9D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E9E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8E9F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EA0 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EA1 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EA2 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EA3 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EA4 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EA5 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EA6 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EA7 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EA8 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EA9 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EAA 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EAB 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EAC 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EAD 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EAE 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EAF 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EB0 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EB1 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EB2 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EB3 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EB4 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EB5 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EB6 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EB7 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EB8 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EB9 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EBA 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EBB 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EBC 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EBD 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EBE 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EBF 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EC0 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EC1 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EC2 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EC3 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EC4 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EC5 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EC6 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EC7 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EC8 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EC9 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8ECA 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8ECB 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8ECC 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8ECD 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8ECE 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8ECF 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8ED0 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8ED1 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8ED2 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8ED3 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8ED4 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8ED5 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8ED6 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8ED7 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8ED8 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8ED9 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EDA 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EDB 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EDC 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EDD 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EDE 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EDF 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EE0 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EE1 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EE2 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EE3 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EE4 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EE5 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EE6 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EE7 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EE8 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EE9 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EEA 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EEB 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EEC 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EED 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EEE 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EEF 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EF0 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EF1 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EF2 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EF3 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EF4 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EF5 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EF6 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EF7 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EF8 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EF9 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EFA 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EFB 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EFC 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EFD 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EFE 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8EFF 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F00 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F01 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F02 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F03 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F04 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F05 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F06 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F07 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F08 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F09 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F0A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F0B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F0C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F0D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F0E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F0F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F10 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F11 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F12 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F13 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F14 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F15 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F16 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F17 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F18 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F19 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F1A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F1B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F1C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F1D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F1E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F1F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F20 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F21 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F22 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F23 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F24 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F25 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F26 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F27 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F28 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F29 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F2A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F2B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F2C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F2D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F2E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F2F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F30 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F31 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F32 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F33 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F34 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F35 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F36 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F37 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F38 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F39 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F3A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F3B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F3C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F3D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F3E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F3F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F40 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F41 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F42 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F43 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F44 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F45 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F46 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F47 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F48 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F49 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F4A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F4B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F4C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F4D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F4E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F4F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F50 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F51 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F52 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F53 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F54 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F55 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F56 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F57 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F58 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F59 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F5A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F5B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F5C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F5D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F5E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F5F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F60 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F61 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F62 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F63 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F64 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F65 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F66 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F67 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F68 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F69 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F6A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F6B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F6C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F6D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F6E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F6F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F70 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F71 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F72 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F73 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F74 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F75 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F76 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F77 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F78 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F79 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F7A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F7B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F7C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F7D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F7E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F7F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F80 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F81 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F82 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F83 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F84 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F85 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F86 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F87 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F88 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F89 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F8A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F8B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F8C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F8D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F8E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F8F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F90 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F91 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F92 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F93 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F94 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F95 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F96 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F97 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F98 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F99 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F9A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F9B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F9C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F9D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F9E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8F9F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FA0 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FA1 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FA2 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FA3 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FA4 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FA5 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FA6 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FA7 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FA8 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FA9 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FAA 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FAB 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FAC 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FAD 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FAE 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FAF 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FB0 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FB1 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FB2 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FB3 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FB4 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FB5 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FB6 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FB7 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FB8 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FB9 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FBA 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FBB 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FBC 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FBD 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FBE 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FBF 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FC0 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FC1 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FC2 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FC3 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FC4 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FC5 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FC6 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FC7 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FC8 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FC9 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FCA 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FCB 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FCC 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FCD 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FCE 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FCF 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FD0 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FD1 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FD2 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FD3 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FD4 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FD5 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FD6 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FD7 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FD8 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FD9 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FDA 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FDB 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FDC 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FDD 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FDE 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FDF 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FE0 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FE1 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FE2 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FE3 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FE4 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FE5 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FE6 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FE7 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FE8 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FE9 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FEA 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FEB 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FEC 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FED 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FEE 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FEF 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FF0 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FF1 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FF2 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FF3 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FF4 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FF5 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FF6 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FF7 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FF8 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FF9 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FFA 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FFB 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FFC 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FFD 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FFE 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8FFF 0x0300 0x0001 0x8100    ; CJK Ideograph
