1	;Fullwidth Solidus
0xd5	0x5ef4	;
0xd9	0x5f50	;
0xda	0x5f61	;
0xe1	0x6534	;
0xe6	0x65e0	;

DBCSTABLE 98            ;LeadByte = 0xa8

0x21	0x72c9	;_
0x22	0x72dc	;`
0x23	0x72d2	;a
0x24	0x72d4	;b
0x25	0x72da	;c
0x26	0x72cc	;d
0x27	0x72d1	;e
0x28	0x73a4	;f
0x29	0x73a1	;g
0x2a	0x73ad	;h
0x2b	0x73a6	;i
0x2c	0x73a2	;j
0x2d	0x73a0	;k
0x2e	0x73ac	;l
0x2f	0x739d	;m
0x30	0x74dd	;n
0x31	0x74e8	;o
0x32	0x753f	;p
0x33	0x7540	;q
0x34	0x753e	;r
0x35	0x758c	;s
0x36	0x7598	;t
0x37	0x76af	;u
0x38	0x76f3	;v
0x39	0x76f1	;w
0x3a	0x76f0	;x
0x3b	0x76f5	;y
0x3c	0x77f8	;z
0x3d	0x77fc	;{
0x3e	0x77f9	;|
0x3f	0x77fb	;}
0x40	0x77fa	;~
0x41	0x77f7	;͡
0x42	0x7942	;͢
0x43	0x793f	;ͣ
0x44	0x79c5	;ͤ
0x45	0x7a78	;ͥ
0x46	0x7a7b	;ͦ
0x47	0x7afb	;ͧ
0x48	0x7c75	;ͨ
0x49	0x7cfd	;ͩ
0x4a	0x8035	;ͪ
0x4b	0x808f	;ͫ
0x4c	0x80ae	;ͬ
0x4d	0x80a3	;ͭ
0x4e	0x80b8	;ͮ
0x4f	0x80b5	;ͯ
0x50	0x80ad	;Ͱ
0x51	0x8220	;ͱ
0x52	0x82a0	;Ͳ
0x53	0x82c0	;ͳ
0x54	0x82ab	;ʹ
0x55	0x829a	;͵
0x56	0x8298	;Ͷ
0x57	0x829b	;ͷ
0x58	0x82b5	;͸
0x59	0x82a7	;͹
0x5a	0x82ae	;ͺ
0x5b	0x82bc	;ͻ
0x5c	0x829e	;ͼ
0x5d	0x82ba	;ͽ
0x5e	0x82b4	;;
0x5f	0x82a8	;Ϳ
0x60	0x82a1	;
0x61	0x82a9	;
0x62	0x82c2	;
0x63	0x82a4	;
0x64	0x82c3	;
0x65	0x82b6	;
0x66	0x82a2	;
0x67	0x8670	;
0x68	0x866f	;
0x69	0x866d	;
0x6a	0x866e	;
0x6b	0x8c56	;
0x6c	0x8fd2	;
0x6d	0x8fcb	;
0x6e	0x8fd3	;
0x6f	0x8fcd	;
0x70	0x8fd6	;
0x71	0x8fd5	;
0x72	0x8fd7	;
0x73	0x90b2	;
0x74	0x90b4	;
0x75	0x90af	;
0x76	0x90b3	;
0x77	0x90b0	;
0x78	0x9639	;
0x79	0x963d	;
0x7a	0x963c	;
0x7b	0x963a	;
0x7c	0x9643	;
0x7d	0x4fcd	;
0x7e	0x4fc5	;
0xa9	0x7592	;
0xaa	0x7676	;
0xe3	0x8fb5	;
0xec	0x96b6	;

DBCSTABLE 94            ;LeadByte = 0xa9

0x21	0x4fd3	;
0x22	0x4fb2	;
0x23	0x4fc9	;
0x24	0x4fcb	;
0x25	0x4fc1	;
0x26	0x4fd4	;
0x27	0x4fdc	;
0x28	0x4fd9	;
0x29	0x4fbb	;
0x2a	0x4fb3	;
0x2b	0x4fdb	;
0x2c	0x4fc7	;
0x2d	0x4fd6	;
0x2e	0x4fba	;
0x2f	0x4fc0	;
0x30	0x4fb9	;
0x31	0x4fec	;
0x32	0x5244	;
0x33	0x5249	;
0x34	0x52c0	;
0x35	0x52c2	;
0x36	0x533d	;
0x37	0x537c	;
0x38	0x5397	;
0x39	0x5396	;
0x3a	0x5399	;
0x3b	0x5398	;
0x3c	0x54ba	;
0x3d	0x54a1	;
0x3e	0x54ad	;
0x3f	0x54a5	;
0x40	0x54cf	;
0x41	0x54c3	;@
0x42	0x830d	;A
0x43	0x54b7	;B
0x44	0x54ae	;C
0x45	0x54d6	;D
0x46	0x54b6	;E
0x47	0x54c5	;F
0x48	0x54c6	;G
0x49	0x54a0	;H
0x4a	0x5470	;I
0x4b	0x54bc	;J
0x4c	0x54a2	;K
0x4d	0x54be	;L
0x4e	0x5472	;M
0x4f	0x54de	;N
0x50	0x54b0	;O
0x51	0x57b5	;P
0x52	0x579e	;Q
0x53	0x579f	;R
0x54	0x57a4	;S
0x55	0x578c	;T
0x56	0x5797	;U
0x57	0x579d	;V
0x58	0x579b	;W
0x59	0x5794	;X
0x5a	0x5798	;Y
0x5b	0x578f	;Z
0x5c	0x5799	;[
0x5d	0x57a5	;\
0x5e	0x579a	;]
0x5f	0x5795	;^
0x60	0x58f4	;_
0x61	0x590d	;`
0x62	0x5953	;a
0x63	0x59e1	;b
0x64	0x59de	;c
0x65	0x59ee	;d
0x66	0x5a00	;e
0x67	0x59f1	;f
0x68	0x59dd	;g
0x69	0x59fa	;h
0x6a	0x59fd	;i
0x6b	0x59fc	;j
0x6c	0x59f6	;k
0x6d	0x59e4	;l
0x6e	0x59f2	;m
0x6f	0x59f7	;n
0x70	0x59db	;o
0x71	0x59e9	;p
0x72	0x59f3	;q
0x73	0x59f5	;r
0x74	0x59e0	;s
0x75	0x59fe	;t
0x76	0x59f4	;u
0x77	0x59ed	;v
0x78	0x5ba8	;w
0x79	0x5c4c	;x
0x7a	0x5cd0	;y
0x7b	0x5cd8	;z
0x7c	0x5ccc	;{
0x7d	0x5cd7	;|
0x7e	0x5ccb	;}

DBCSTABLE 188           ;LeadByte = 0xaa

0x21	0x5cdb	;~
0x22	0x5cde	;Ρ
0x23	0x5cda	;΢
0x24	0x5cc9	;Σ
0x25	0x5cc7	;Τ
0x26	0x5cca	;Υ
0x27	0x5cd6	;Φ
0x28	0x5cd3	;Χ
0x29	0x5cd4	;Ψ
0x2a	0x5ccf	;Ω
0x2b	0x5cc8	;Ϊ
0x2c	0x5cc6	;Ϋ
0x2d	0x5cce	;ά
0x2e	0x5cdf	;έ
0x2f	0x5cf8	;ή
0x30	0x5df9	;ί
0x31	0x5e21	;ΰ
0x32	0x5e22	;α
0x33	0x5e23	;β
0x34	0x5e20	;γ
0x35	0x5e24	;δ
0x36	0x5eb0	;ε
0x37	0x5ea4	;ζ
0x38	0x5ea2	;η
0x39	0x5e9b	;θ
0x3a	0x5ea3	;ι
0x3b	0x5ea5	;κ
0x3c	0x5f07	;λ
0x3d	0x5f2e	;μ
0x3e	0x5f56	;ν
0x3f	0x5f86	;ξ
0x40	0x6037	;ο
0x41	0x6039	;
0x42	0x6054	;
0x43	0x6072	;
0x44	0x605e	;
0x45	0x6045	;
0x46	0x6053	;
0x47	0x6047	;
0x48	0x6049	;
0x49	0x605b	;
0x4a	0x604c	;
0x4b	0x6040	;
0x4c	0x6042	;
0x4d	0x605f	;
0x4e	0x6024	;
0x4f	0x6044	;
0x50	0x6058	;
0x51	0x6066	;
0x52	0x606e	;
0x53	0x6242	;
0x54	0x6243	;
0x55	0x62cf	;
0x56	0x630d	;
0x57	0x630b	;
0x58	0x62f5	;
0x59	0x630e	;
0x5a	0x6303	;
0x5b	0x62eb	;
0x5c	0x62f9	;
0x5d	0x630f	;
0x5e	0x630c	;
0x5f	0x62f8	;
0x60	0x62f6	;
0x61	0x6300	;
0x62	0x6313	;
0x63	0x6314	;
0x64	0x62fa	;
0x65	0x6315	;
0x66	0x62fb	;
0x67	0x62f0	;
0x68	0x6541	;
0x69	0x6543	;
0x6a	0x65aa	;
0x6b	0x65bf	;
0x6c	0x6636	;
0x6d	0x6621	;
0x6e	0x6632	;
0x6f	0x6635	;
0x70	0x661c	;
0x71	0x6626	;
0x72	0x6622	;
0x73	0x6633	;
0x74	0x662b	;
0x75	0x663a	;
0x76	0x661d	;
0x77	0x6634	;
0x78	0x6639	;
0x79	0x662e	;
0x7a	0x670f	;
0x7b	0x6710	;
0x7c	0x67c1	;
0x7d	0x67f2	;
0x7e	0x67c8	;
0xa1	0xe468
0xa2	0xe469
0xa3	0xe46a
0xa4	0xe46b
0xa5	0xe46c
0xa6	0xe46d
0xa7	0xe46e
0xa8	0xe46f
0xa9	0xe470
0xaa	0xe471
0xab	0xe472
0xac	0xe473
0xad	0xe474
0xae	0xe475
0xaf	0xe476
0xb0	0xe477
0xb1	0xe478
0xb2	0xe479
0xb3	0xe47a
0xb4	0xe47b
0xb5	0xe47c
0xb6	0xe47d
0xb7	0xe47e
0xb8	0xe47f
0xb9	0xe480
0xba	0xe481
0xbb	0xe482
0xbc	0xe483
0xbd	0xe484
0xbe	0xe485
0xbf	0xe486
0xc0	0xe487
0xc1	0xe488
0xc2	0xe489
0xc3	0xe48a
0xc4	0xe48b
0xc5	0xe48c
0xc6	0xe48d
0xc7	0xe48e
0xc8	0xe48f
0xc9	0xe490
0xca	0xe491
0xcb	0xe492
0xcc	0xe493
0xcd	0xe494
0xce	0xe495
0xcf	0xe496
0xd0	0xe497
0xd1	0xe498
0xd2	0xe499
0xd3	0xe49a
0xd4	0xe49b
0xd5	0xe49c
0xd6	0xe49d
0xd7	0xe49e
0xd8	0xe49f
0xd9	0xe4a0
0xda	0xe4a1
0xdb	0xe4a2
0xdc	0xe4a3
0xdd	0xe4a4
0xde	0xe4a5
0xdf	0xe4a6
0xe0	0xe4a7
0xe1	0xe4a8
0xe2	0xe4a9
0xe3	0xe4aa
0xe4	0xe4ab
0xe5	0xe4ac
0xe6	0xe4ad
0xe7	0xe4ae
0xe8	0xe4af
0xe9	0xe4b0
0xea	0xe4b1
0xeb	0xe4b2
0xec	0xe4b3
0xed	0xe4b4
0xee	0xe4b5
0xef	0xe4b6
0xf0	0xe4b7
0xf1	0xe4b8
0xf2	0xe4b9
0xf3	0xe4ba
0xf4	0xe4bb
0xf5	0xe4bc
0xf6	0xe4bd
0xf7	0xe4be
0xf8	0xe4bf
0xf9	0xe4c0
0xfa	0xe4c1
0xfb	0xe4c2
0xfc	0xe4c3
0xfd	0xe4c4
0xfe	0xe4c5

DBCSTABLE 188           ;LeadByte = 0xab

0x21	0x67ba	;
0x22	0x67dc	;@
0x23	0x67bb	;A
0x24	0x67f8	;B
0x25	0x67d8	;C
0x26	0x67c0	;D
0x27	0x67b7	;E
0x28	0x67c5	;F
0x29	0x67eb	;G
0x2a	0x67e4	;H
0x2b	0x67df	;I
0x2c	0x67b5	;J
0x2d	0x67cd	;K
0x2e	0x67b3	;L
0x2f	0x67f7	;M
0x30	0x67f6	;N
0x31	0x67ee	;O
0x32	0x67e3	;P
0x33	0x67c2	;Q
0x34	0x67b9	;R
0x35	0x67ce	;S
0x36	0x67e7	;T
0x37	0x67f0	;U
0x38	0x67b2	;V
0x39	0x67fc	;W
0x3a	0x67c6	;X
0x3b	0x67ed	;Y
0x3c	0x67cc	;Z
0x3d	0x67ae	;[
0x3e	0x67e6	;\
0x3f	0x67db	;]
0x40	0x67fa	;^
0x41	0x67c9	;_
0x42	0x67ca	;`
0x43	0x67c3	;a
0x44	0x67ea	;b
0x45	0x67cb	;c
0x46	0x6b28	;d
0x47	0x6b82	;e
0x48	0x6b84	;f
0x49	0x6bb6	;g
0x4a	0x6bd6	;h
0x4b	0x6bd8	;i
0x4c	0x6be0	;j
0x4d	0x6c20	;k
0x4e	0x6c21	;l
0x4f	0x6d28	;m
0x50	0x6d34	;n
0x51	0x6d2d	;o
0x52	0x6d1f	;p
0x53	0x6d3c	;q
0x54	0x6d3f	;r
0x55	0x6d12	;s
0x56	0x6d0a	;t
0x57	0x6cda	;u
0x58	0x6d33	;v
0x59	0x6d04	;w
0x5a	0x6d19	;x
0x5b	0x6d3a	;y
0x5c	0x6d1a	;z
0x5d	0x6d11	;{
0x5e	0x6d00	;|
0x5f	0x6d1d	;}
0x60	0x6d42	;~
0x61	0x6d01	;ϡ
0x62	0x6d18	;Ϣ
0x63	0x6d37	;ϣ
0x64	0x6d03	;Ϥ
0x65	0x6d0f	;ϥ
0x66	0x6d40	;Ϧ
0x67	0x6d07	;ϧ
0x68	0x6d20	;Ϩ
0x69	0x6d2c	;ϩ
0x6a	0x6d08	;Ϫ
0x6b	0x6d22	;ϫ
0x6c	0x6d09	;Ϭ
0x6d	0x6d10	;ϭ
0x6e	0x70b7	;Ϯ
0x6f	0x709f	;ϯ
0x70	0x70be	;ϰ
0x71	0x70b1	;ϱ
0x72	0x70b0	;ϲ
0x73	0x70a1	;ϳ
0x74	0x70b4	;ϴ
0x75	0x70b5	;ϵ
0x76	0x70a9	;϶
0x77	0x7241	;Ϸ
0x78	0x7249	;ϸ
0x79	0x724a	;Ϲ
0x7a	0x726c	;Ϻ
0x7b	0x7270	;ϻ
0x7c	0x7273	;ϼ
0x7d	0x726e	;Ͻ
0x7e	0x72ca	;Ͼ
0xa1	0xe4c6
0xa2	0xe4c7
0xa3	0xe4c8
0xa4	0xe4c9
0xa5	0xe4ca
0xa6	0xe4cb
0xa7	0xe4cc
0xa8	0xe4cd
0xa9	0xe4ce
0xaa	0xe4cf
0xab	0xe4d0
0xac	0xe4d1
0xad	0xe4d2
0xae	0xe4d3
0xaf	0xe4d4
0xb0	0xe4d5
0xb1	0xe4d6
0xb2	0xe4d7
0xb3	0xe4d8
0xb4	0xe4d9
0xb5	0xe4da
0xb6	0xe4db
0xb7	0xe4dc
0xb8	0xe4dd
0xb9	0xe4de
0xba	0xe4df
0xbb	0xe4e0
0xbc	0xe4e1
0xbd	0xe4e2
0xbe	0xe4e3
0xbf	0xe4e4
0xc0	0xe4e5
0xc1	0xe4e6
0xc2	0xe4e7
0xc3	0xe4e8
0xc4	0xe4e9
0xc5	0xe4ea
0xc6	0xe4eb
0xc7	0xe4ec
0xc8	0xe4ed
0xc9	0xe4ee
0xca	0xe4ef
0xcb	0xe4f0
0xcc	0xe4f1
0xcd	0xe4f2
0xce	0xe4f3
0xcf	0xe4f4
0xd0	0xe4f5
0xd1	0xe4f6
0xd2	0xe4f7
0xd3	0xe4f8
0xd4	0xe4f9
0xd5	0xe4fa
0xd6	0xe4fb
0xd7	0xe4fc
0xd8	0xe4fd
0xd9	0xe4fe
0xda	0xe4ff
0xdb	0xe500
0xdc	0xe501
0xdd	0xe502
0xde	0xe503
0xdf	0xe504
0xe0	0xe505
0xe1	0xe506
0xe2	0xe507
0xe3	0xe508
0xe4	0xe509
0xe5	0xe50a
0xe6	0xe50b
0xe7	0xe50c
0xe8	0xe50d
0xe9	0xe50e
0xea	0xe50f
0xeb	0xe510
0xec	0xe511
0xed	0xe512
0xee	0xe513
0xef	0xe514
0xf0	0xe515
0xf1	0xe516
0xf2	0xe517
0xf3	0xe518
0xf4	0xe519
0xf5	0xe51a
0xf6	0xe51b
0xf7	0xe51c
0xf8	0xe51d
0xf9	0xe51e
0xfa	0xe51f
0xfb	0xe520
0xfc	0xe521
0xfd	0xe522
0xfe	0xe523

DBCSTABLE 188           ;LeadByte = 0xac

0x21	0x72e4	;Ͽ
0x22	0x72e8	;
0x23	0x72eb	;
0x24	0x72df	;
0x25	0x72ea	;
0x26	0x72e6	;
0x27	0x72e3	;
0x28	0x7385	;
0x29	0x73cc	;
0x2a	0x73c2	;
0x2b	0x73c8	;
0x2c	0x73c5	;
0x2d	0x73b9	;
0x2e	0x73b6	;
0x2f	0x73b5	;
0x30	0x73b4	;
0x31	0x73eb	;
0x32	0x73bf	;
0x33	0x73c7	;
0x34	0x73be	;
0x35	0x73c3	;
0x36	0x73c6	;
0x37	0x73b8	;
0x38	0x73cb	;
0x39	0x74ec	;
0x3a	0x74ee	;
0x3b	0x752e	;
0x3c	0x7547	;
0x3d	0x7548	;
0x3e	0x75a7	;
0x3f	0x75aa	;
0x40	0x7679	;
0x41	0x76c4	;
0x42	0x7708	;
0x43	0x7703	;
0x44	0x7704	;
0x45	0x7705	;
0x46	0x770a	;
0x47	0x76f7	;
0x48	0x76fb	;
0x49	0x76fa	;
0x4a	0x77e7	;
0x4b	0x77e8	;
0x4c	0x7806	;
0x4d	0x7811	;
0x4e	0x7812	;
0x4f	0x7805	;
0x50	0x7810	;
0x51	0x780f	;
0x52	0x780e	;
0x53	0x7809	;
0x54	0x7803	;
0x55	0x7813	;
0x56	0x794a	;
0x57	0x794c	;
0x58	0x794b	;
0x59	0x7945	;
0x5a	0x7944	;
0x5b	0x79d5	;
0x5c	0x79cd	;
0x5d	0x79cf	;
0x5e	0x79d6	;
0x5f	0x79ce	;
0x60	0x7a80	;
0x61	0x7a7e	;@
0x62	0x7ad1	;A
0x63	0x7b00	;B
0x64	0x7b01	;C
0x65	0x7c7a	;D
0x66	0x7c78	;E
0x67	0x7c79	;F
0x68	0x7c7f	;G
0x69	0x7c80	;H
0x6a	0x7c81	;I
0x6b	0x7d03	;J
0x6c	0x7d08	;K
0x6d	0x7d01	;L
0x6e	0x7f58	;M
0x6f	0x7f91	;N
0x70	0x7f8d	;O
0x71	0x7fbe	;P
0x72	0x8007	;Q
0x73	0x800e	;R
0x74	0x800f	;S
0x75	0x8014	;T
0x76	0x8037	;U
0x77	0x80d8	;V
0x78	0x80c7	;W
0x79	0x80e0	;X
0x7a	0x80d1	;Y
0x7b	0x80c8	;Z
0x7c	0x80c2	;[
0x7d	0x80d0	;\
0x7e	0x80c5	;]
0xa1	0xe524
0xa2	0xe525
0xa3	0xe526
0xa4	0xe527
0xa5	0xe528
0xa6	0xe529
0xa7	0xe52a
0xa8	0xe52b
0xa9	0xe52c
0xaa	0xe52d
0xab	0xe52e
0xac	0xe52f
0xad	0xe530
0xae	0xe531
0xaf	0xe532
0xb0	0xe533
0xb1	0xe534
0xb2	0xe535
0xb3	0xe536
0xb4	0xe537
0xb5	0xe538
0xb6	0xe539
0xb7	0xe53a
0xb8	0xe53b
0xb9	0xe53c
0xba	0xe53d
0xbb	0xe53e
0xbc	0xe53f
0xbd	0xe540
0xbe	0xe541
0xbf	0xe542
0xc0	0xe543
0xc1	0xe544
0xc2	0xe545
0xc3	0xe546
0xc4	0xe547
0xc5	0xe548
0xc6	0xe549
0xc7	0xe54a
0xc8	0xe54b
0xc9	0xe54c
0xca	0xe54d
0xcb	0xe54e
0xcc	0xe54f
0xcd	0xe550
0xce	0xe551
0xcf	0xe552
0xd0	0xe553
0xd1	0xe554
0xd2	0xe555
0xd3	0xe556
0xd4	0xe557
0xd5	0xe558
0xd6	0xe559
0xd7	0xe55a
0xd8	0xe55b
0xd9	0xe55c
0xda	0xe55d
0xdb	0xe55e
0xdc	0xe55f
0xdd	0xe560
0xde	0xe561
0xdf	0xe562
0xe0	0xe563
0xe1	0xe564
0xe2	0xe565
0xe3	0xe566
0xe4	0xe567
0xe5	0xe568
0xe6	0xe569
0xe7	0xe56a
0xe8	0xe56b
0xe9	0xe56c
0xea	0xe56d
0xeb	0xe56e
0xec	0xe56f
0xed	0xe570
0xee	0xe571
0xef	0xe572
0xf0	0xe573
0xf1	0xe574
0xf2	0xe575
0xf3	0xe576
0xf4	0xe577
0xf5	0xe578
0xf6	0xe579
0xf7	0xe57a
0xf8	0xe57b
0xf9	0xe57c
0xfa	0xe57d
0xfb	0xe57e
0xfc	0xe57f
0xfd	0xe580
0xfe	0xe581

DBCSTABLE 188           ;LeadByte = 0xad

0x21	0x80e3	;^
0x22	0x80d9	;_
0x23	0x80dc	;`
0x24	0x80ca	;a
0x25	0x80d5	;b
0x26	0x80c9	;c
0x27	0x80cf	;d
0x28	0x80d7	;e
0x29	0x80e6	;f
0x2a	0x80cd	;g
0x2b	0x81ff	;h
0x2c	0x8221	;i
0x2d	0x8294	;j
0x2e	0x82d9	;k
0x2f	0x82fe	;l
0x30	0x82f9	;m
0x31	0x8307	;n
0x32	0x82e8	;o
0x33	0x8300	;p
0x34	0x82d5	;q
0x35	0x833a	;r
0x36	0x82eb	;s
0x37	0x82d6	;t
0x38	0x82f4	;u
0x39	0x82ec	;v
0x3a	0x82e1	;w
0x3b	0x82f2	;x
0x3c	0x82f5	;y
0x3d	0x830c	;z
0x3e	0x82fb	;{
0x3f	0x82f6	;|
0x40	0x82f0	;}
0x41	0x82ea	;~
0x42	0x82e4	;С
0x43	0x82e0	;Т
0x44	0x82fa	;У
0x45	0x82f3	;Ф
0x46	0x82ed	;Х
0x47	0x8677	;Ц
0x48	0x8674	;Ч
0x49	0x867c	;Ш
0x4a	0x8673	;Щ
0x4b	0x8841	;Ъ
0x4c	0x884e	;Ы
0x4d	0x8867	;Ь
0x4e	0x886a	;Э
0x4f	0x8869	;Ю
0x50	0x89d3	;Я
0x51	0x8a04	;а
0x52	0x8a07	;б
0x53	0x8d72	;в
0x54	0x8fe3	;г
0x55	0x8fe1	;д
0x56	0x8fee	;е
0x57	0x8fe0	;ж
0x58	0x90f1	;з
0x59	0x90bd	;и
0x5a	0x90bf	;й
0x5b	0x90d5	;к
0x5c	0x90c5	;л
0x5d	0x90be	;м
0x5e	0x90c7	;н
0x5f	0x90cb	;о
0x60	0x90c8	;п
0x61	0x91d4	;
0x62	0x91d3	;
0x63	0x9654	;
0x64	0x964f	;
0x65	0x9651	;
0x66	0x9653	;
0x67	0x964a	;
0x68	0x964e	;
0x69	0x501e	;
0x6a	0x5005	;
0x6b	0x5007	;
0x6c	0x5013	;
0x6d	0x5022	;
0x6e	0x5030	;
0x6f	0x501b	;
0x70	0x4ff5	;
0x71	0x4ff4	;
0x72	0x5033	;
0x73	0x5037	;
0x74	0x502c	;
0x75	0x4ff6	;
0x76	0x4ff7	;
0x77	0x5017	;
0x78	0x501c	;
0x79	0x5020	;
0x7a	0x5027	;
0x7b	0x5035	;
0x7c	0x502f	;
0x7d	0x5031	;
0x7e	0x500e	;
0xa1	0xe582
0xa2	0xe583
0xa3	0xe584
0xa4	0xe585
0xa5	0xe586
0xa6	0xe587
0xa7	0xe588
0xa8	0xe589
0xa9	0xe58a
0xaa	0xe58b
0xab	0xe58c
0xac	0xe58d
0xad	0xe58e
0xae	0xe58f
0xaf	0xe590
0xb0	0xe591
0xb1	0xe592
0xb2	0xe593
0xb3	0xe594
0xb4	0xe595
0xb5	0xe596
0xb6	0xe597
0xb7	0xe598
0xb8	0xe599
0xb9	0xe59a
0xba	0xe59b
0xbb	0xe59c
0xbc	0xe59d
0xbd	0xe59e
0xbe	0xe59f
0xbf	0xe5a0
0xc0	0xe5a1
0xc1	0xe5a2
0xc2	0xe5a3
0xc3	0xe5a4
0xc4	0xe5a5
0xc5	0xe5a6
0xc6	0xe5a7
0xc7	0xe5a8
0xc8	0xe5a9
0xc9	0xe5aa
0xca	0xe5ab
0xcb	0xe5ac
0xcc	0xe5ad
0xcd	0xe5ae
0xce	0xe5af
0xcf	0xe5b0
0xd0	0xe5b1
0xd1	0xe5b2
0xd2	0xe5b3
0xd3	0xe5b4
0xd4	0xe5b5
0xd5	0xe5b6
0xd6	0xe5b7
0xd7	0xe5b8
0xd8	0xe5b9
0xd9	0xe5ba
0xda	0xe5bb
0xdb	0xe5bc
0xdc	0xe5bd
0xdd	0xe5be
0xde	0xe5bf
0xdf	0xe5c0
0xe0	0xe5c1
0xe1	0xe5c2
0xe2	0xe5c3
0xe3	0xe5c4
0xe4	0xe5c5
0xe5	0xe5c6
0xe6	0xe5c7
0xe7	0xe5c8
0xe8	0xe5c9
0xe9	0xe5ca
0xea	0xe5cb
0xeb	0xe5cc
0xec	0xe5cd
0xed	0xe5ce
0xee	0xe5cf
0xef	0xe5d0
0xf0	0xe5d1
0xf1	0xe5d2
0xf2	0xe5d3
0xf3	0xe5d4
0xf4	0xe5d5
0xf5	0xe5d6
0xf6	0xe5d7
0xf7	0xe5d8
0xf8	0xe5d9
0xf9	0xe5da
0xfa	0xe5db
0xfb	0xe5dc
0xfc	0xe5dd
0xfd	0xe5de
0xfe	0xe5df

DBCSTABLE 188           ;LeadByte = 0xae

0x21	0x515a	;
0x22	0x5194	;
0x23	0x5193	;
0x24	0x51ca	;
0x25	0x51c4	;
0x26	0x51c5	;
0x27	0x51c8	;
0x28	0x51ce	;
0x29	0x5261	;
0x2a	0x525a	;
0x2b	0x5252	;
0x2c	0x525e	;
0x2d	0x525f	;
0x2e	0x5255	;
0x2f	0x5262	;
0x30	0x52cd	;
0x31	0x530e	;
0x32	0x539e	;
0x33	0x5526	;
0x34	0x54e2	;
0x35	0x5517	;
0x36	0x5512	;
0x37	0x54e7	;
0x38	0x54f3	;
0x39	0x54e4	;
0x3a	0x551a	;
0x3b	0x54ff	;
0x3c	0x5504	;
0x3d	0x5508	;
0x3e	0x54eb	;
0x3f	0x5511	;
0x40	0x5505	;
0x41	0x54f1	;
0x42	0x550a	;@
0x43	0x54fb	;A
0x44	0x54f7	;B
0x45	0x54f8	;C
0x46	0x54e0	;D
0x47	0x550e	;E
0x48	0x5503	;F
0x49	0x550b	;G
0x4a	0x5701	;H
0x4b	0x5702	;I
0x4c	0x57cc	;J
0x4d	0x5832	;K
0x4e	0x57d5	;L
0x4f	0x57d2	;M
0x50	0x57ba	;N
0x51	0x57c6	;O
0x52	0x57bd	;P
0x53	0x57bc	;Q
0x54	0x57b8	;R
0x55	0x57b6	;S
0x56	0x57bf	;T
0x57	0x57c7	;U
0x58	0x57d0	;V
0x59	0x57b9	;W
0x5a	0x57c1	;X
0x5b	0x590e	;Y
0x5c	0x594a	;Z
0x5d	0x5a19	;[
0x5e	0x5a16	;\
0x5f	0x5a2d	;]
0x60	0x5a2e	;^
0x61	0x5a15	;_
0x62	0x5a0f	;`
0x63	0x5a17	;a
0x64	0x5a0a	;b
0x65	0x5a1e	;c
0x66	0x5a33	;d
0x67	0x5b6c	;e
0x68	0x5ba7	;f
0x69	0x5bad	;g
0x6a	0x5bac	;h
0x6b	0x5c03	;i
0x6c	0x5c56	;j
0x6d	0x5c54	;k
0x6e	0x5cec	;l
0x6f	0x5cff	;m
0x70	0x5cee	;n
0x71	0x5cf1	;o
0x72	0x5cf7	;p
0x73	0x5d00	;q
0x74	0x5cf9	;r
0x75	0x5e29	;s
0x76	0x5e28	;t
0x77	0x5ea8	;u
0x78	0x5eae	;v
0x79	0x5eaa	;w
0x7a	0x5eac	;x
0x7b	0x5f33	;y
0x7c	0x5f30	;z
0x7d	0x5f67	;{
0x7e	0x605d	;|
0xa1	0xe5e0
0xa2	0xe5e1
0xa3	0xe5e2
0xa4	0xe5e3
0xa5	0xe5e4
0xa6	0xe5e5
0xa7	0xe5e6
0xa8	0xe5e7
0xa9	0xe5e8
0xaa	0xe5e9
0xab	0xe5ea
0xac	0xe5eb
0xad	0xe5ec
0xae	0xe5ed
0xaf	0xe5ee
0xb0	0xe5ef
0xb1	0xe5f0
0xb2	0xe5f1
0xb3	0xe5f2
0xb4	0xe5f3
0xb5	0xe5f4
0xb6	0xe5f5
0xb7	0xe5f6
0xb8	0xe5f7
0xb9	0xe5f8
0xba	0xe5f9
0xbb	0xe5fa
0xbc	0xe5fb
0xbd	0xe5fc
0xbe	0xe5fd
0xbf	0xe5fe
0xc0	0xe5ff
0xc1	0xe600
0xc2	0xe601
0xc3	0xe602
0xc4	0xe603
0xc5	0xe604
0xc6	0xe605
0xc7	0xe606
0xc8	0xe607
0xc9	0xe608
0xca	0xe609
0xcb	0xe60a
0xcc	0xe60b
0xcd	0xe60c
0xce	0xe60d
0xcf	0xe60e
0xd0	0xe60f
0xd1	0xe610
0xd2	0xe611
0xd3	0xe612
0xd4	0xe613
0xd5	0xe614
0xd6	0xe615
0xd7	0xe616
0xd8	0xe617
0xd9	0xe618
0xda	0xe619
0xdb	0xe61a
0xdc	0xe61b
0xdd	0xe61c
0xde	0xe61d
0xdf	0xe61e
0xe0	0xe61f
0xe1	0xe620
0xe2	0xe621
0xe3	0xe622
0xe4	0xe623
0xe5	0xe624
0xe6	0xe625
0xe7	0xe626
0xe8	0xe627
0xe9	0xe628
0xea	0xe629
0xeb	0xe62a
0xec	0xe62b
0xed	0xe62c
0xee	0xe62d
0xef	0xe62e
0xf0	0xe62f
0xf1	0xe630
0xf2	0xe631
0xf3	0xe632
