0x587b	;
0x7cae	0x554a	;
0x7cb1	0x554b	;
0x7cb2	0x62bd	;
0x7cb3	0x50c2	;
0x7cb9	0x5b76	;
0x7cbe	0x60fc	;
0x7cca	0x66b0	;
0x7cd6	0x544a	;
0x7cde	0x58ee	;
0x7cdf	0x6188	;
0x7ce0	0x50a8	;
0x7ce7	0x554c	;
0x7cfb	0x5183	;
0x7cfe	0x52dc	;
0x7d00	0x5382	;
0x7d02	0x61d1	;
0x7d04	0x5cc7	;
0x7d05	0x66d0	;
0x7d06	0x6ab5	;
0x7d07	0x67a8	;
0x7d08	0x66f4	;
0x7d0a	0x5768	;
0x7d0b	0x5767	;
0x7d0d	0x53ab	;
0x7d10	0x53ce	;
0x7d14	0x5ba4	;
0x7d17	0x59b4	;
0x7d18	0x5252	;
0x7d19	0x6262	;
0x7d1a	0x5352	;
0x7d1b	0x58ef	;
0x7d20	0x5ae9	;
0x7d21	0x57d3	;
0x7d22	0x5a4c	;
0x7d2b	0x5fce	;
0x7d2c	0x61d2	;
0x7d2e	0x6b8f	;
0x7d2f	0x55db	;
0x7d30	0x5acf	;
0x7d33	0x5bfe	;
0x7d35	0x6b56	;
0x7d39	0x5aea	;
0x7d3a	0x5092	;
0x7d42	0x61ac	;
0x7d43	0x6665	;
0x7d44	0x618a	;
0x7d45	0x5166	;
0x7d46	0x57b5	;
0x7d50	0x50fe	;
0x7d5e	0x5263	;
0x7d61	0x54d6	;
0x7d62	0x6666	;
0x7d66	0x5353	;
0x7d68	0x5f51	;
0x7d6a	0x6afe	;
0x7d6e	0x5a65	;
0x7d71	0x64ce	;
0x7d72	0x59b5	;
0x7d73	0x6850	;
0x7d76	0x60cf	;
0x7d79	0x50f6	;
0x7d7f	0x5297	;
0x7d8e	0x6b6f	;
0x7d8f	0x5b77	;
0x7d93	0x5167	;
0x7d9c	0x61ad	;
0x7da0	0x55b2	;
0x7da2	0x61d3	;
0x7dac	0x5b78	;
0x7dad	0x5ef1	;
0x7db1	0x50a6	;
0x7db2	0x569e	;
0x7db4	0x6367	;
0x7db5	0x62ef	;
0x7db8	0x55f2	;
0x7dba	0x5383	;
0x7dbb	0x64a2	;
0x7dbd	0x5fe2	;
0x7dbe	0x5643	;
0x7dbf	0x56ca	;
0x7dc7	0x6463	;
0x7dca	0x5394	;
0x7dcb	0x595e	;
0x7dd6	0x5a66	;
0x7dd8	0x65d4	;
0x7dda	0x5a94	;
0x7ddd	0x629c	;
0x7dde	0x53e3	;
0x7de0	0x638b	;
0x7de1	0x6987	;
0x7de3	0x5d6a	;
0x7de8	0x654e	;
0x7de9	0x5de9	;
0x7dec	0x56cb	;
0x7def	0x5ec8	;
0x7df4	0x5574	;
0x7dfb	0x6464	;
0x7e09	0x6282	;
0x7e0a	0x69ed	;
0x7e15	0x6a95	;
0x7e1b	0x579d	;
0x7e1d	0x6b84	;
0x7e1e	0x66b1	;
0x7e1f	0x6aaa	;
0x7e21	0x6b55	;
0x7e23	0x6667	;
0x7e2b	0x58ae	;
0x7e2e	0x63e8	;
0x7e2f	0x6a5f	;
0x7e31	0x61ae	;
0x7e37	0x55dc	;
0x7e3d	0x63be	;
0x7e3e	0x6098	;
0x7e41	0x5843	;
0x7e43	0x58fe	;
0x7e46	0x5759	;
0x7e47	0x5e50	;
0x7e52	0x6b7b	;
0x7e54	0x6270	;
0x7e55	0x5a95	;
0x7e5e	0x5e51	;
0x7e61	0x5b79	;
0x7e69	0x5bc5	;
0x7e6a	0x675f	;
0x7e6b	0x5184	;
0x7e6d	0x50f7	;
0x7e70	0x618c	;
0x7e79	0x5d50	;
0x7e7c	0x5185	;
0x7e82	0x62bc	;
0x7e8c	0x5afb	;
0x7e8f	0x60bc	;
0x7e93	0x5d97	;
0x7e96	0x5ab0	;
0x7e98	0x62be	;
0x7e9b	0x548d	;
0x7e9c	0x54ec	;
0x7f36	0x58c9	;
0x7f38	0x65e8	;
0x7f3a	0x5141	;
0x7f4c	0x5cb5	;
0x7f50	0x51ed	;
0x7f54	0x569f	;
0x7f55	0x65c3	;
0x7f6a	0x61b9	;
0x7f6b	0x5247	;
0x7f6e	0x6465	;
0x7f70	0x584a	;
0x7f72	0x5a67	;
0x7f75	0x56af	;
0x7f77	0x64e8	;
0x7f79	0x5656	;
0x7f85	0x54cc	;
0x7f88	0x6898	;
0x7f8a	0x5cdc	;
0x7f8c	0x6851	;
0x7f8e	0x577c	;
0x7f94	0x6871	;
0x7f9a	0x558f	;
